Type,Name,Wikidata ID,Description,Image,Reference,Government Position,Private Sector Position,State
Person,Scott Perry,Q7437034,,,,Representative,,PA
Person,Keith J. Rothfus,Q5978897,,,,Representative,,PA
Person,Matt Cartwright,Q4111531,,,,Representative,,PA
Person,Tom Rice,Q3956858,,,,Representative,,SC
Person,Ted Cruz,Q2036942,,,,Senator,,TX
Person,"Randy K. Weber, Sr.",Q556404,,,,Representative,,TX
Person,Beto O'Rourke,Q4014532,,,,Representative,,TX
Person,Joaquin Castro,Q1167934,,,,Representative,,TX
Person,Roger Williams,Q391591,,,,Representative,,TX
Person,Marc A. Veasey,Q4068811,,,,Representative,,TX
Person,Filemon Vela,Q4069225,,,,Representative,,TX
Person,Chris Stewart,Q1077768,,,,Representative,,UT
Person,Tim Kaine,Q359888,,,,Senator,,VA
Person,Derek Kilmer,Q4068828,,,,Representative,,WA
Person,Denny Heck,Q4068793,,,,Representative,,WA
Person,Mark Pocan,Q1900355,,,,Representative,,WI
Person,Robin L. Kelly,Q3437091,,,,Representative,,IL
